mark,model,generation_name,year,mileage,vol_engine,fuel,price
audi,a3,gen-8p-2003-2012,2009,230000,1798,Gasoline,20500
audi,a3,gen-8p-2003-2012,2008,232000,1600,Gasoline,18950
audi,a3,gen-8p-2003-2012,2005,233000,1896,Diesel,16400
audi,a3,gen-8p-2003-2012,2006,287000,1968,Diesel,19500
audi,a3,gen-8p-2003-2012,2008,190000,1595,Gasoline,28900
audi,a3,gen-8p-2003-2012,2009,195000,1798,Gasoline,26900
audi,a3,gen-8p-2003-2012,2005,289658,1968,Diesel,18700
audi,a3,gen-8p-2003-2012,2005,367800,1968,Diesel,16900
audi,a3,gen-8p-2003-2012,2005,246974,1968,Diesel,23999
audi,a3,gen-8p-2003-2012,2009,209000,1390,Gasoline,25000
audi,a3,gen-8p-2003-2012,2010,177000,1390,Gasoline,26999
audi,a3,gen-8p-2003-2012,2011,141000,1798,Gasoline,29999
audi,a3,gen-8p-2003-2012,2003,245000,1595,Gasoline,11900
audi,a3,gen-8p-2003-2012,2009,250000,1896,Diesel,24900
audi,a3,gen-8p-2003-2012,2005,235031,1968,Diesel,13000
audi,a3,gen-8p-2003-2012,2009,230000,1400,Gasoline,23900
audi,a3,gen-8p-2003-2012,2005,224083,1968,Diesel,22900
audi,a3,gen-8p-2003-2012,2004,320000,1595,LPG,15400
audi,a3,gen-8p-2003-2012,2006,200000,1598,Gasoline,15700
audi,a3,gen-8p-2003-2012,2009,166600,1798,Gasoline,28900
audi,a3,gen-8p-2003-2012,2010,280000,1968,Diesel,41900
audi,a3,gen-8p-2003-2012,2006,235000,1896,Diesel,18700
audi,a3,gen-8p-2003-2012,2012,212000,1968,Diesel,36700
audi,a3,gen-8p-2003-2012,2003,191000,1595,Gasoline,11999
audi,a3,gen-8p-2003-2012,2005,213000,1968,Diesel,17900
audi,a3,gen-8p-2003-2012,2005,170000,1984,Gasoline,20900
audi,a3,gen-8p-2003-2012,2009,149842,1390,Gasoline,27900
audi,a3,gen-8p-2003-2012,2012,250000,1598,Diesel,22900
audi,a3,gen-8p-2003-2012,2009,187500,1595,Gasoline,24800
audi,a3,gen-8p-2003-2012,2007,258000,1896,Diesel,22900
audi,a3,gen-8p-2003-2012,2006,188000,1595,Gasoline,14300
audi,a3,gen-8p-2003-2012,2007,330000,1896,Diesel,17500
audi,a3,gen-8p-2003-2012,2012,248000,1968,Diesel,33900
audi,a3,gen-8p-2003-2012,2007,279932,1896,Diesel,17900
audi,a3,gen-8p-2003-2012,2007,305000,1968,Diesel,18500
audi,a3,gen-8p-2003-2012,2010,207340,1798,Gasoline,32900
audi,a3,gen-8p-2003-2012,2003,233894,1595,Gasoline,12999
audi,a3,gen-8p-2003-2012,2009,265000,1390,Gasoline,23900
audi,a3,gen-8p-2003-2012,2011,136000,1598,Diesel,21900
audi,a3,gen-8p-2003-2012,2006,221000,1896,Diesel,14900
audi,a3,gen-8p-2003-2012,2010,94000,1798,Gasoline,28900
audi,a3,gen-8p-2003-2012,2011,197000,1968,Diesel,31900
audi,a3,gen-8p-2003-2012,2011,247148,1598,Diesel,31900
audi,a3,gen-8p-2003-2012,2007,149191,1595,Gasoline,25900
audi,a3,gen-8p-2003-2012,2010,233000,1598,Diesel,23900
audi,a3,gen-8p-2003-2012,2007,186000,1595,Gasoline,16000
audi,a3,gen-8p-2003-2012,2007,194000,1390,Gasoline,18800
audi,a3,gen-8p-2003-2012,2006,202000,1598,Gasoline,17900
audi,a3,gen-8p-2003-2012,2009,280000,1896,Diesel,24700
audi,a3,gen-8p-2003-2012,2012,130000,1197,Gasoline,28900
audi,a3,gen-8p-2003-2012,2008,225951,1595,Gasoline,27900
audi,a3,gen-8p-2003-2012,2005,171000,1984,Gasoline,22900
audi,a3,gen-8p-2003-2012,2008,185500,1896,Diesel,22500
audi,a3,gen-8p-2003-2012,2005,226622,1984,Gasoline,16000
audi,a3,gen-8p-2003-2012,2010,189000,1798,Gasoline,29900
audi,a3,gen-8p-2003-2012,2008,108936,1390,Gasoline,24800
audi,a3,gen-8p-2003-2012,2008,180761,1390,Gasoline,18800
audi,a3,gen-8p-2003-2012,2004,229000,1595,Gasoline,13300
audi,a3,gen-8p-2003-2012,2006,135102,1595,Gasoline,22900
audi,a3,gen-8p-2003-2012,2005,163044,1595,Gasoline,21950
audi,a3,gen-8p-2003-2012,2007,89000,1798,Gasoline,23999
audi,a3,gen-8p-2003-2012,2011,198000,1598,Diesel,30000
audi,a3,gen-8p-2003-2012,2008,168000,1595,Gasoline,24900
audi,a3,gen-8p-2003-2012,2009,67402,1390,Gasoline,27999
audi,a3,gen-8p-2003-2012,2009,166770,1968,Diesel,28999
audi,a3,gen-8p-2003-2012,2012,167000,1968,Diesel,36600
audi,a3,gen-8p-2003-2012,2006,220000,1595,Gasoline,17900
audi,a3,gen-8p-2003-2012,2008,101000,1595,Gasoline,23900
audi,a3,gen-8p-2003-2012,2005,222000,1984,Gasoline,16900
audi,a3,gen-8p-2003-2012,2004,286000,1595,LPG,15997
audi,a3,gen-8p-2003-2012,2008,157950,1595,Gasoline,31900
audi,a3,gen-8p-2003-2012,2003,198459,1595,Gasoline,14900
audi,a3,gen-8p-2003-2012,2011,255800,1968,Diesel,39900
audi,a3,gen-8p-2003-2012,2004,208000,1984,Gasoline,11999
audi,a3,gen-8p-2003-2012,2007,201000,1896,Diesel,21500
audi,a3,gen-8p-2003-2012,2006,182000,1595,Gasoline,23900
audi,a3,gen-8p-2003-2012,2008,200000,1896,Diesel,22900
audi,a3,gen-8p-2003-2012,2007,213000,1968,Diesel,13300
audi,a3,gen-8p-2003-2012,2004,245000,1896,Diesel,14500
audi,a3,gen-8p-2003-2012,2009,289900,1968,Diesel,35600
